# 0x1 unused
0x2 ank1a
0x3 ank1b
0x4 ank2a
0x5 ank2b
0x103a OpenFlour cooking
0x103b bread food
0x103c bread2 food
0x103d Dough cooking
# 0x103e unused
0x103f CookieMix cooking
0x1040 pizza food
0x1041 pie food
0x1042 upie cooking
0x1043 rollingpin cooking
0x1044 spam food
0x1045 Flour2 cooking
0x1046 OpenFlour2 cooking
0x1047 globe metalworking
# 0x1048 - 0x104b unused
0x104c clock metalworking
0x104d Clockframe metalworking
0x104e Clockframe2 metalworking
0x104f Clockparts metalworking
# 0x1050 unused
0x1051 Axleandgears metalworking
# 0x1052 unused
0x1053 Gears metalworking
# 0x1054 unused
0x1055 Hinge metalworking
# 0x1056 unused
0x1057 Sextant cartography
# 0x1058 unused
0x1059 Sextantparts metalworking
# 0x105a unused
0x105b Axle metalworking
# 0x105c unused
0x105d springs metalworking
# 0x105e - 0x1066 unused
0x1067 cutleather
# 0x1068 unused
0x1069 curtidor domesticwork
0x106a curingrack2 domesticwork
0x106b curingrack3 domesticwork
0x106c curingrack4 domesticwork
0x106d curingrack5 domesticwork
0x106e curingrack6 domesticwork
0x106f curingrack7 domesticwork
0x1070 TrainingDummy training
# 0x1071 - 0x1073 unused
0x1074 TrainingDummy2 training
# 0x1075 - 0x1077 unused
0x1078 hides
0x1079 hides2
0x107a curingrack8 domesticwork
0x107b curingrack9 domesticwork
0x107c curingrack14 domesticwork
0x107d curingrack10 domesticwork
0x107e curingrack11 domesticwork
0x107f curingrack12 domesticwork
0x1080 curingrack13 domesticwork
# 0x1081 - 0x1082 unused
0x1083 uncookedpizza cooking
# 0x1084 unused
0x1085 silvernecklace metalworking
0x1086 bracelet metalworking
0x1087 earrings metalworking
0x1088 roundnecklace metalworking
0x1089 longnecklace metalworking
0x108a ring metalworking
# 0x108b unused
0x108c lever levers
# 0x108d - 0x10d3 unused
0x10d4 SpiderWeb walkon
# 0x10d5 - 0x10e0 unused
0x10e1 barrelhoops woodworking
# 0x10e2 unused
0x10e3 doughbowl cooking
0x10e4 drawknife woodworking
0x10e5 Froe woodworking
0x10e6 inshave fls_carpentry
0x10e7 SandScoop gathering
# 0x10e8 - 0x10f4 unused
0x10f5 StoneFace traps
# 0x10f6 - 0x10fb unused
0x10fc BigStoneFace traps
# 0x10fd - 0x1102 unused
0x1103 WallSawTrap traps
# 0x1104 - 0x1107 unused
0x1108 WallSpikes traps
# 0x1109 - 0x110e unused
0x110f BigStoneFace2 traps
# 0x1110 - 0x1115 unused
0x1116 WallSawTrap2 traps
# 0x1117 - 0x111a unused
0x111b WallSpikes2 traps
# 0x111c - 0x112a unused
0x112b DartTrap traps
# 0x112c - 0x112e unused
0x112f DartTrap2 traps
# 0x1130 - 0x1132 unused
0x1133 WallAxeTrap traps
# 0x1134 - 0x1164 unused
0x1165 gravestone stonework
# 0x1166 - 0x118a unused
0x118b mesaadornada woodworking
# 0x118c unused
0x118d mesaadornada2 woodworking
# 0x118e unused
0x118f mesagrandeadornada woodworking
# 0x1190 - 0x1199 unused
0x119a FloorSpikeTrap traps
# 0x119b - 0x119f unused
0x11a0 FloorSpikeTrap2 traps
# 0x11a1 - 0x11ab unused
0x11ac FloorSawTrap traps
# 0x11ad - 0x11af unused
0x11b0 [n/a] fls_carpentry
0x11b1 FloorSawTrap2 traps
# 0x11b2 - 0x11c5 unused
0x11c6 SmallFlowerPot farming
0x11c7 LargeFlowerPot farming
0x11c8 SmPottedPlant farming
0x11c9 LgPottedPlant farming
0x11ca LgFlowerPot farming
0x11cb SmFlowerPot farming
# 0x11cc - 0x11d5 unused
0x11d6 mesaorc woodworking
# 0x11d7 - 0x11db unused
0x11dc mesaorc2 woodworking
# 0x11dd - 0x11fc unused
0x11fd camaorc woodworking
0x11fe moldura1 woodworking
0x11ff moldura2 woodworking
# 0x1200 unused
0x1201 stonetable
0x1202 stonetable2
0x1203 stonetable3
0x1204 stonetable4
0x1205 stonetable5
0x1206 stonetable6
0x1207 stonebench
0x1208 stonebench2
0x1209 stonebench3
0x120a stonebench4
# 0x120b - 0x1217 unused
0x1218 stonechair
0x1219 stonechai2
0x121a stonechai3
0x121b stonechair4
# 0x121c - 0x1223 unused
0x1224 statue1 stonework
0x1225 statue2 stonework
0x1226 statue3 stonework
0x1227 statue4 stonework
0x1228 statue5 stonework
# 0x1229 unused
0x122a blood blood
# 0x122b - 0x122c unused
0x122d bloodvial alchemy
# 0x122e - 0x1248 unused
0x1249 ironmaiden torture
# 0x124a - 0x125d unused
0x125e guillotine torture
# 0x125f - 0x127c unused
0x127d troncoalgema torture
# 0x127e - 0x12b2 unused
0x12b3 malletandchisel stonework
# 0x12b4 - 0x136f unused
0x1370 LongBrush farming
# 0x1371 unused
0x1372 Brush
# 0x1373 - 0x137f unused
0x1380 Bowimc woodworking
0x1381 Arcocompostosemcorda woodworking
0x1382 Arcolongosemcorda woodworking
0x1383 Arcolongocompostosemcorda woodworking
0x1384 Bestasemcorda woodworking
0x1385 Bestapesadasemcorda woodworking
# 0x1386 - 0x1387 unused
0x1388 Capuz domesticwork
# 0x1389 - 0x138d unused
0x138e CapaSimples domesticwork
# 0x138f unused
0x1390 SaiaImprovisada domesticwork
0x1391 SaiaLonga domesticwork
0x1392 SaiaLongaNobre domesticwork
# 0x1393 unused
0x1394 VestidoSimples domesticwork
0x1395 VestidoEnfeitado domesticwork
0x1396 VestidoModerno domesticwork
# 0x1397 - 0x1398 unused
0x1399 TunicaNobre domesticwork
# 0x139a - 0x13ae unused
0x13af WarAxe combat
# 0x13b0 - 0x13b1 unused
0x13b2 ShortBow combat
0x13b3 Club combat
# 0x13b4 unused
0x13b5 Scimitar combat
# 0x13b6 - 0x13b8 unused
0x13b9 VikingSword combat
# 0x13ba unused
0x13bb ChainmailCoif combat
# 0x13bc - 0x13bd unused
0x13be ChainmailLeggings combat
0x13bf ChainmailTunic combat
0x13c0 ChainmailCoif2 combat
# 0x13c1 - 0x13c2 unused
0x13c3 ChainmailLeggings2 combat
0x13c4 ChainmailTunic2 combat
# 0x13c5 unused
0x13c6 LeatherGloves combat
0x13c7 LeatherGorget combat
# 0x13c8 - 0x13ca unused
0x13cb LeatherLeggings combat
0x13cc LeatherTunic combat
0x13cd LeatherSleeves combat
# 0x13ce - 0x13d2 unused
0x13d3 LeatherTunic2 combat
0x13d4 StuddedSleeves combat
0x13d5 StuddedGloves combat
0x13d6 StuddedGorget combat
# 0x13d7 - 0x13d9 unused
0x13da StuddedLeggings combat
0x13db StuddedTunic combat
# 0x13dc - 0x13e2 unused
0x13e3 smithhammer combat
0x13e4 LightWarHammer combat
0x13e5 luvasdosmagos combat
0x13e6 meiacapa combat
0x13e7 botasnumajenes combat
0x13e8 botasacolchoadas combat
0x13e9 mantodoviajante combat
0x13ea mantodadescobertavaniria combat
0x13eb mantodosmagos combat
0x13ec RingmailTunic combat
0x13ed RingmailTunic2 combat
0x13ee RingmailSleeves combat
0x13ef RingmailSleeves2 combat
0x13f0 RingmailLeggings combat
0x13f1 RingmailLeggings2 combat
0x13f2 RingmailGloves combat
# 0x13f3 unused
0x13f4 armaduracouroalimdar combat
0x13f5 trajedememmar combat
0x13f6 ButcherKnife combat
0x13f7 botasdeinverno combat
# 0x13f8 unused
0x13f9 GnarledStaff combat
0x13fa LargeBattleAxe combat
# 0x13fb - 0x13fc unused
0x13fd HeavyCrossbow combat
0x13fe Katana combat
# 0x13ff - 0x1400 unused
0x1401 Kryss combat
0x1402 ShortSpear combat
# 0x1403 unused
0x1404 WarFork combat
# 0x1405 unused
0x1406 WarMace combat
# 0x1407 unused
0x1408 CloseHelm combat
0x1409 CloseHelm2 combat
0x140a Helmet combat
0x140b Helmet2 combat
0x140c Bascinet combat
0x140d Bascinet2 combat
0x140e NoseHelm combat
0x140f NoseHelm2 combat
0x1410 PlatemailArms combat
0x1411 PlatemailLegs combat
0x1412 PlateHelm combat
0x1413 PlatemailGorget combat
0x1414 PlatemailGloves combat
0x1415 PlatemailBreastplate combat
0x1416 PlatemailBreastplate2 combat
0x1417 PlatemailArms2 combat
0x1418 PlatemailGloves2 combat
0x1419 PlateHelm2 combat
0x141a PlatemailLegs2 combat
# 0x141b unused
0x141c OrcMask orcmask
# 0x141d - 0x141f unused
0x1420 elmododragao combat
# 0x1421 unused
0x1422 beeswax farming
# 0x1423 - 0x1427 unused
0x1428 moldedevela woodworking
# 0x1429 - 0x142b unused
0x142c candle5 lighting
# 0x142d - 0x142e unused
0x142f candle6 lighting
0x1430 candle7 lighting
# 0x1431 - 0x1432 unused
0x1433 candle8 lighting
0x1434 candle9 lighting
# 0x1435 - 0x1436 unused
0x1437 candle0 lighting
0x1438 WarHammer combat
# 0x1439 unused
0x143a Maul combat
# 0x143b unused
0x143c HammerPick combat
# 0x143d unused
0x143e Halberd combat
# 0x143f unused
0x1440 Cutlass combat
# 0x1441 unused
0x1442 TwoHandedAxe combat
# 0x1443 - 0x144d unused
0x144e Bonearms combat
0x144f Bonetunic combat
0x1450 Bonegloves combat
0x1451 Bonehelm combat
0x1452 Bonelegs combat
# 0x1453 - 0x14df unused
0x14e0 waterbucket water
# 0x14e1 - 0x14e8 unused
0x14e9 padeforno woodworking
# 0x14ea unused
0x14eb blankmap cartography
0x14ec blankmap_2 cartography
0x14ed rolledmap cartography
0x14ee rolledmap2 cartography
# 0x14ef - 0x14f7 unused
0x14f8 rope fls_core
# 0x14f9 - 0x14fa unused
0x14fb lockpick mechanicalapitude
# 0x14fc - 0x1501 unused
0x1502 plough farming
# 0x1503 - 0x1504 unused
0x1505 Harrow farming
# 0x1506 - 0x1514 unused
0x1515 Cloak domesticwork
0x1516 Skirt domesticwork
0x1517 Shirt domesticwork
# 0x1518 - 0x151f unused
0x1520 torneiravat2 cooking
0x1521 fundodovat cooking
# 0x1522 - 0x1524 unused
0x1525 torneiravat1 cooking
# 0x1526 - 0x152d unused
0x152e ShortPants domesticwork
# 0x152f - 0x1536 unused
0x1537 Kilt domesticwork
# 0x1538 unused
0x1539 LongPants domesticwork
0x153a LongPants2 domesticwork
0x153b HalfApron domesticwork
# 0x153c unused
0x153d FullApron domesticwork
# 0x153e unused
0x153f Bandana domesticwork
# 0x1540 unused
0x1541 BodySash domesticwork
# 0x1542 unused
0x1543 Skullcap domesticwork
# 0x1544 unused
0x1545 BearMask domesticwork
# 0x1546 unused
0x1547 DeerMask domesticwork
# 0x1548 unused
0x1549 TribalMask domesticwork
# 0x154a - 0x15ae unused
0x15af machadodebatalhaduegar combat
# 0x15b0 - 0x15f7 unused
0x15f8 WoodenBowl cooking
# 0x15f9 - 0x1606 unused
0x1607 rawchickenleg cooking
0x1608 chickenleg food
0x1609 rawlegoflamb cooking
0x160a cookedlegoflamb food
0x160b panofcookies food
0x160c plateofcookies food
# 0x160d - 0x1666 unused
0x1667 mesagrandeadornada2 woodworking
# 0x1668 - 0x166c unused
0x166d postedetortura woodworking
0x166e whip torture
# 0x166f - 0x170a unused
0x170b Boots combat
# 0x170c unused
0x170d Sandals domesticwork
# 0x170e unused
0x170f Shoes domesticwork
0x1710 Shoes2 domesticwork
0x1711 ThighBoots combat
# 0x1712 unused
0x1713 FloppyHat domesticwork
0x1714 WideBrimHat domesticwork
0x1715 Cap domesticwork
0x1716 TallStrawHat domesticwork
0x1717 StrawHat domesticwork
0x1718 wizardhat domesticwork
0x1719 Bonnet domesticwork
0x171a FeatheredHat domesticwork
0x171b TricorneHat domesticwork
0x171c Jesterhat domesticwork
0x171d peelbanana food
0x171e peelbanana2 food
0x171f banana food
0x1720 banana2 food
0x1721 bananabunch1 food
0x1722 bananabunch2 food
0x1723 leakingcoconut1 food
0x1724 leakingcoconut2 food
# 0x1725 unused
0x1726 wholecoconut food
0x1727 dates food
0x1728 lemons food
0x1729 cutlemons food
0x172a limes food
0x172b cutlimes food
0x172c peach food
0x172d pear food
# 0x172e - 0x1765 unused
0x1766 clothpiece domesticwork
# 0x1767 - 0x182f unused
0x1830 beker alchemy
# 0x1831 unused
0x1832 balao alchemy
# 0x1833 - 0x1847 unused
0x1848 dedobesta drugs
0x1849 heatingstand alchemy
0x184a heatingstand2 lighting
# 0x184b - 0x184c unused
0x184d heatingstand3 lighting
0x184e heatingstand4 lighting
# 0x184f - 0x1850 unused
0x1851 scales metalworking
# 0x1852 unused
0x1853 skullcandle1 lighting
0x1854 skullcandle2 lighting
# 0x1855 - 0x1856 unused
0x1857 skullcandle3 lighting
0x1858 skullcandle4 lighting
# 0x1859 - 0x1865 unused
0x1866 dishing stump alchemy
# 0x1867 - 0x1875 unused
0x1876 ironwire metalworking
0x1877 silverwire metalworking
0x1878 goldwire metalworking
0x1879 copperwire metalworking
# 0x187a - 0x18dd unused
0x18de mandrakeplant2 tn
# 0x18df unused
0x18e0 mandrakeplant tn
# 0x18e1 unused
0x18e2 garlicplant tn
# 0x18e3 unused
0x18e4 garlicplant2 tn
0x18e5 nightshadeplant tn
# 0x18e6 - 0x18e7 unused
0x18e8 nightshadeplant2 tn
# 0x18e9 unused
0x18ea ginsengplant tn
# 0x18eb unused
0x18ec ginsengplant2 tn
# 0x18ed - 0x190f unused
0x1910 bar woodworking
# 0x1911 - 0x1938 unused
0x1939 rooftile stonework
# 0x193a - 0x194f unused
0x1950 mongbatdartboard tn
# 0x1951 - 0x1979 unused
0x197a bellows1 gathering
0x197b bellows2 gathering
0x197c bellows3 gathering
0x197d bellows4 gathering
0x197e forge1 gathering
0x197f forge2 gathering
0x1980 forge3 gathering
0x1981 forge4 gathering
0x1982 forge5 gathering
0x1983 forge6 gathering
0x1984 forge7 gathering
0x1985 forge8 gathering
0x1986 bellows5 gathering
0x1987 bellows6 gathering
0x1988 bellows7 gathering
0x1989 bellows8 gathering
0x198a forge9 gathering
0x198b forge10 gathering
0x198c forge11 gathering
0x198d forge12 gathering
0x198e forge13 gathering
0x198f forge14 gathering
0x1990 forge15 gathering
0x1991 forge16 gathering
0x1992 bellows9 gathering
0x1993 bellows10 gathering
0x1994 bellows11 gathering
0x1995 bellows12 gathering
0x1996 forge17 gathering
0x1997 forge18 gathering
0x1998 forge19 gathering
0x1999 forge20 gathering
0x199a forge21 gathering
0x199b forge22 gathering
0x199c forge23 gathering
0x199d forge24 gathering
0x199e bellows13 gathering
0x199f bellows14 gathering
0x19a0 bellows15 gathering
0x19a1 bellows16 gathering
0x19a2 forge25 gathering
0x19a3 forge26 gathering
0x19a4 forge27 gathering
0x19a5 forge28 gathering
0x19a6 forge29 gathering
0x19a7 forge30 gathering
0x19a8 forge31 gathering
0x19a9 forge32 gathering
0x19aa brazier2 lighting
# 0x19ab - 0x19ba unused
0x19bb brazier3 lighting
# 0x19bc - 0x1a06 unused
0x1a07 chain fls_core
# 0x1a08 - 0x1a9b unused
0x1a9c FlaxBundle domesticwork
# 0x1a9d - 0x1aa1 unused
0x1aa2 hopscones cooking
# 0x1aa3 - 0x1ad2 unused
0x1ad3 donuts food
# 0x1ad4 - 0x1ad5 unused
0x1ad6 barricacomtorneira woodworking
# 0x1ad7 - 0x1ae1 unused
0x1ae2 Skull
# 0x1ae3 - 0x1b71 unused
0x1b72 RoundShield combat
0x1b73 Buckler combat
0x1b74 KiteShield combat
0x1b75 KiteShield2 combat
0x1b76 HeaterShield combat
0x1b77 HeaterShield2 combat
0x1b78 KiteShieldB1 combat
0x1b79 KiteShieldB2 combat
0x1b7a WoodenShield combat
0x1b7b MetalShield combat
# 0x1b7c - 0x1bc2 unused
0x1bc3 Chaosshield combat
0x1bc4 Ordershield combat
0x1bc5 escudodacavalaria combat
0x1bc6 escudodekaljhara combat
# 0x1bc7 - 0x1bd0 unused
0x1bd1 feather woodworking
# 0x1bd2 - 0x1bd3 unused
0x1bd4 arrowshaft woodworking
# 0x1bd5 - 0x1bd6 unused
0x1bd7 board
# 0x1bd8 - 0x1bdc unused
0x1bdd log gathering
# 0x1bde - 0x1be2 unused
0x1be3 Glass gathering
# 0x1be4 - 0x1be5 unused
0x1be6 Brick gathering
# 0x1be7 - 0x1beb unused
0x1bec Sandstone gathering
# 0x1bed - 0x1bfa unused
0x1bfb bolt woodworking
# 0x1bfc - 0x1bff unused
0x1c00 LeatherShorts combat
# 0x1c01 unused
0x1c02 FemaleStudded combat
# 0x1c03 unused
0x1c04 FemalePlate combat
# 0x1c05 unused
0x1c06 FemaleLeather combat
# 0x1c07 unused
0x1c08 LeatherSkirt combat
# 0x1c09 unused
0x1c0a LeatherBustier combat
# 0x1c0b unused
0x1c0c StuddedBustier combat
# 0x1c0d - 0x1c13 unused
0x1c14 candlea lighting
# 0x1c15 - 0x1cec unused
0x1ced heart survival
0x1cee liver survival
# 0x1cef unused
0x1cf0 brain survival
# 0x1cf1 - 0x1d96 unused
0x1d97 ank3a
0x1d98 ank3b
# 0x1d99 - 0x1d9e unused
0x1d9f Torso
# 0x1da0 - 0x1da4 unused
0x1da5 mesa woodworking
# 0x1da6 - 0x1dad unused
0x1dae Head
# 0x1daf - 0x1db7 unused
0x1db8 tampadebarril woodworking
0x1db9 LeatherCap combat
# 0x1dba - 0x1e02 unused
0x1e03 footprint snow
0x1e04 footprint2 snow
0x1e05 footprint3 snow
0x1e06 footprint4 snow
# 0x1e07 - 0x1e10 unused
0x1e11 PottedCactus1 farming
0x1e12 PottedCactus2 farming
0x1e13 PottedCactus3 farming
# 0x1e14 unused
0x1e15 rawfishwithhead1 cooking
0x1e16 rawfishwithhead2 cooking
0x1e17 rawfishwithouthead1 cooking
0x1e18 rawfishwithouthead2 cooking
0x1e19 fishhead1 cooking
0x1e1a fishhead2 cooking
0x1e1b fishhead3 cooking
# 0x1e1c - 0x1e1e unused
0x1e1f hamslices food
# 0x1e20 - 0x1e29 unused
0x1e2a remos woodworking
# 0x1e2b - 0x1e2d unused
0x1e2e alvo2 woodworking
# 0x1e2f - 0x1e33 unused
0x1e34 espantalho woodworking
# 0x1e35 - 0x1e36 unused
0x1e37 bearhead survival
# 0x1e38 - 0x1e49 unused
0x1e4a polarbearhead survival
# 0x1e4b - 0x1e5b unused
0x1e5c ank4a
0x1e5d ank4b
0x1e5e BulletinBoard bulletinboard
0x1e5f BulletinBoard2 bulletinboard
# 0x1e60 - 0x1e87 unused
0x1e88 skinnedgoat survival
# 0x1e89 unused
0x1e8a lard food
# 0x1e8b unused
0x1e8c pigsfeet survival
# 0x1e8d unused
0x1e8e pigshead survival
# 0x1e8f unused
0x1e90 skinneddeer survival
# 0x1e91 unused
0x1e92 skinnedrabbit survival
# 0x1e93 - 0x1e9a unused
0x1e9b wellhook water
# 0x1e9c - 0x1ea2 unused
0x1ea3 net fls_core
# 0x1ea4 - 0x1eb1 unused
0x1eb2 barrelstaves woodworking
# 0x1eb3 - 0x1eb5 unused
0x1eb6 caixadeferramentas woodworking
0x1eb7 caixadeferramentas2 woodworking
# 0x1eb8 unused
0x1eb9 TinkerTools2 metalworking
# 0x1eba - 0x1ebb unused
0x1ebc TinkerTools metalworking
0x1ebd wheatsheaf cooking
# 0x1ebe - 0x1efc unused
0x1efd FancyShirt domesticwork
# 0x1efe unused
0x1eff FancyDress domesticwork
# 0x1f00 unused
0x1f01 PlainDress domesticwork
# 0x1f02 unused
0x1f03 deathrobe domesticwork
# 0x1f04 - 0x1f0a unused
0x1f0b Orchelm combat
# 0x1f0c - 0x1f13 unused
0x1f14 RecallRune magery
0x1f15 RecallRune2 magery
# 0x1f16 - 0x1f27 unused
0x1f28 placa5 woodworking
0x1f29 placa6 woodworking
# 0x1f2a unused
0x1f2b brazier4 lighting
# 0x1f2c unused
0x1f2d reactivearmorscroll magery
0x1f2e clumsyscroll magery
0x1f2f createfoodscroll magery
0x1f30 feeblemindscroll magery
0x1f31 healscroll magery
0x1f32 magicarrowscroll magery
0x1f33 nightsightscroll magery
0x1f34 weakenscroll magery
0x1f35 agilityscroll magery
0x1f36 cunningscroll magery
0x1f37 curescroll magery
0x1f38 harmscroll magery
0x1f39 magictrapscroll magery
0x1f3a magicuntrapscroll magery
0x1f3b protectionscroll magery
0x1f3c strengthscroll magery
0x1f3d blessscroll magery
0x1f3e fireballscroll magery
0x1f3f magiclockscroll magery
0x1f40 poisonscroll magery
0x1f41 telekinesisscroll magery
0x1f42 teleportscroll magery
0x1f43 magicunlockscroll magery
0x1f44 wallofstonescroll magery
0x1f45 archcurescroll magery
0x1f46 archprotectionscroll magery
0x1f47 cursecroll magery
0x1f48 firefieldscroll magery
0x1f49 greaterhealscroll magery
0x1f4a lightningscroll magery
0x1f4b manadrainscroll magery
0x1f4c recallscroll magery
0x1f4d bladespiritscroll magery
0x1f4e dispelfieldscroll magery
0x1f4f incognitoscroll magery
0x1f50 magicrelfectscroll magery
0x1f51 mindblastscroll magery
0x1f52 paralyzescroll magery
0x1f53 poisonfieldscroll magery
0x1f54 summoncreaturescroll magery
0x1f55 dispelscroll magery
0x1f56 energyboltscroll magery
0x1f57 explosionscroll magery
0x1f58 invisibilityscroll magery
0x1f59 markscroll magery
0x1f5a masscursescroll magery
0x1f5b paralyzefieldscroll magery
0x1f5c revealscroll magery
0x1f5d chainlightningscroll magery
0x1f5e energyfieldscroll magery
0x1f5f flamestrikescroll magery
0x1f60 gatetravelscroll magery
0x1f61 manavampirescroll magery
0x1f62 massdispelscroll magery
0x1f63 meteorswarmscroll magery
0x1f64 polymorphscroll magery
0x1f65 earthquakescroll magery
0x1f66 energyvortexscroll magery
0x1f67 resurrectionscroll magery
0x1f68 summonairelemscroll magery
0x1f69 summondaemonscroll magery
0x1f6a summonearthelemscroll magery
0x1f6b summonfireelemscroll magery
0x1f6c summonwaterelemscroll magery
# 0x1f6d - 0x1f7a unused
0x1f7b Doublet domesticwork
# 0x1f7c unused
0x1f7d glassofcider food
# 0x1f7e - 0x1f80 unused
0x1f81 emptyglass food
# 0x1f82 - 0x1f84 unused
0x1f85 glassofliquor food
# 0x1f86 - 0x1f88 unused
0x1f89 glassofmilk food
# 0x1f8a - 0x1f8c unused
0x1f8d glassofwine food
# 0x1f8e - 0x1f90 unused
0x1f91 glassofwater food
# 0x1f92 - 0x1f95 unused
0x1f96 pitcherofale food
# 0x1f97 unused
0x1f98 pitcherofcider food
# 0x1f99 unused
0x1f9a pitcherofliquor food
# 0x1f9b unused
0x1f9c pitcherofwine food
# 0x1f9d unused
0x1f9e pitcherofwater food
0x1f9f JesterSuit domesticwork
# 0x1fa0 unused
0x1fa1 Tunic domesticwork
# 0x1fa2 - 0x1fd3 unused
0x1fd4 BlackMoonGate moongates
# 0x1fd5 - 0x1fe6 unused
0x1fe7 WhiteMoonGate moongates
# 0x1fe8 - 0x1fec unused
0x1fed [n/a] doors
0x1fee [n/a] doors
0x1fef [n/a] doors
0x1ff0 [n/a] doors
0x1ff1 [n/a] doors
0x1ff2 [n/a] doors
0x1ff3 [n/a] doors
0x1ff4 [n/a] doors
0x1ff5 [n/a] doors
0x1ff6 [n/a] doors
0x1ff7 [n/a] doors
0x1ff8 [n/a] doors
0x1ff9 [n/a] doors
0x1ffa [n/a] doors
0x1ffb [n/a] doors
0x1ffc [n/a] doors
0x1ffd Surcoat domesticwork
# 0x1ffe - 0x2005 unused
0x2006 Corpse containers
# 0x2007 - 0x203a unused
0x203b ShortHair hair
0x203c LongHair hair
0x203d PonyTailHair hair
0x203e LongBeardHair hair
0x203f ShortBeardHair hair
0x2040 GoateeHair hair
0x2041 MustacheHair hair
# 0x2042 - 0x2043 unused
0x2044 MohawkHair hair
0x2045 PageBoyHair hair
0x2046 BunsHair hair
0x2047 AfroHair hair
0x2048 RecedingHair hair
0x2049 PigTailHair hair
0x204a KrisnaHair hair
0x204b MedShortBeardHair hair
0x204c medlongbeard hair
0x204d VandykeHair hair
0x204e deathshroud
# 0x204f - 0x234e unused
0x234f QuadroGrande1 quadros
# 0x2350 - 0x240c unused
0x240d Quadro4 quadros
# 0x240e unused
0x240f Quadro5 quadros
# 0x2410 - 0x2412 unused
0x2413 Retrato5 quadros
# 0x2414 - 0x2554 unused
0x2555 bighammer stonework
# 0x2556 - 0x25ea unused
0x25eb CheckeredShirt domesticwork
# 0x25ec - 0x2640 unused
0x2641 DragonBreastplate combat
0x2642 DragonBreastplate2 combat
0x2643 DragonGloves combat
0x2644 DragonGloves2 combat
# 0x2645 - 0x2646 unused
0x2647 DragonLegs combat
0x2648 DragonLegs2 combat
# 0x2649 - 0x2656 unused
0x2657 DragonArms combat
0x2658 DragonArms2 combat
# 0x2659 - 0x2682 unused
0x2683 mortalha combat
# 0x2684 - 0x26b4 unused
0x26b5 quitina survival
# 0x26b6 unused
0x26b7 cogumelocurativo medicine
# 0x26b8 - 0x26bf unused
0x26c0 WoodLance combat
# 0x26c1 - 0x26c3 unused
0x26c4 Scythe combat
0x26c5 ShortScythe combat
0x26c6 Scepter combat
0x26c7 BladedStaff combat
0x26c8 Pike combat
0x26c9 DoubleBladedStaff combat
0x26ca Lance combat
0x26cb CrescentBlade combat
0x26cc LongBow combat
0x26cd RepeatingCrossbow combat
# 0x26ce unused
0x26cf GreatSword combat
# 0x26d0 - 0x277c unused
0x277d cotamalhatoramril combat
# 0x277e - 0x278d unused
0x278e capuz combat
0x278f Hood domesticwork
# 0x2790 - 0x27a4 unused
0x27a5 ArcoYumi combat
0x27a6 clavadosgigantes combat
# 0x27a7 - 0x27a8 unused
0x27a9 CimitarrasDuplas combat
# 0x27aa unused
0x27ab Garras combat
# 0x27ac - 0x27ae unused
0x27af dualknives combat
# 0x27b0 - 0x2803 unused
0x2804 dardo tn
0x2805 flute musicianship
# 0x2806 unused
0x2807 flute2 musicianship
# 0x2808 - 0x299f unused
0x29a0 fancystainedglasswind01 stonework
# 0x29a1 - 0x29a3 unused
0x29a4 cavestainedglasswind01 stonework
# 0x29a5 - 0x29a6 unused
0x29a7 cavestainedglasswind04 stonework
# 0x29a8 - 0x29ab unused
0x29ac rusticstainedglasswind01 stonework
# 0x29ad - 0x29b5 unused
0x29b6 brickstainedglasswind01 stonework
# 0x29b7 - 0x2a5c unused
0x2a5d QuadroGrande3 quadros
# 0x2a5e - 0x2a64 unused
0x2a65 QuadroGrande4 quadros
0x2a66 QuadroGrande5 quadros
# 0x2a67 - 0x2a68 unused
0x2a69 QuadroGrande6 quadros
# 0x2a6a - 0x2b00 unused
0x2b01 grandeescudoadornado combat
# 0x2b02 unused
0x2b03 bainhaealjavaold woodworking
# 0x2b04 - 0x2b67 unused
0x2b68 tanga combat
# 0x2b69 - 0x2b6d unused
0x2b6e circlet metalworking
0x2b6f circlet2 metalworking
0x2b70 circlet3 metalworking
# 0x2b71 - 0x2b73 unused
0x2b74 RangerTunic combat
0x2b75 RangerGloves combat
0x2b76 RangerGorget combat
0x2b77 RangerSleeves combat
0x2b78 RangerLeggings combat
0x2b79 RangerTunicFemale combat
# 0x2b7a - 0x2be0 unused
0x2be1 biscuit food
# 0x2be2 - 0x2d29 unused
0x2d2a ArcoLongoNumaja combat
0x2d2b ArcoCurtoNumaja combat
# 0x2d2c unused
0x2d2d karda combat
0x2d2e kukri combat
0x2d2f CimitarraKuxaijkan combat
0x2d30 MacaLaminada combat
# 0x2d31 unused
0x2d32 laminasvanirias combat
0x2d33 CimitarradeUnnam combat
0x2d34 machadodebatalhathuria combat
0x2d35 FacaodaCaveira combat
# 0x2d36 - 0x2de2 unused
0x2de3 OrnateElvenChair woodworking
# 0x2de4 - 0x2dea unused
0x2deb BigElvenChair woodworking
# 0x2dec - 0x2df4 unused
0x2df5 ElvenReadingDesk woodworking
# 0x2df6 - 0x2fb6 unused
0x2fb7 aljavapequena woodworking
0x2fb8 oculos domesticwork
# 0x2fb9 - 0x2fca unused
0x2fcb NumajaTunicFemale combat
# 0x2fcc - 0x308b unused
0x308c OrnateElvenTable woodworking
# 0x308d - 0x3091 unused
0x3092 FancyElvenTable woodworking
